durations,T_all,NA_core,NA_rim,NB_core,NB_rim
0.01,1216.3228696956762,624.9220368464029,801.0,0.0779631535971248,0.0
1.0,1216.271222687241,617.3130075329874,801.0,7.686992467012601,0.0
2.0,1216.2190539918524,609.8270763258636,801.0,15.172923674136428,0.0
3.0,1216.1668852964635,602.5342978062836,801.0,22.465702193716425,0.0
4.0,1216.1147166010746,595.4273053010389,801.0,29.572694698961072,0.0
5.0,1216.062547905686,588.4991020459778,801.0,36.50089795402221,0.0
6.0,1216.010379210297,581.7430382556439,801.0,43.25696174435609,0.0
7.0,1215.9582105149082,575.1527898777481,801.0,49.84721012225191,0.0
8.0,1215.9060418195195,568.722338889793,801.0,56.277661110206964,0.0
9.0,1215.8538731241306,562.4459550088148,801.0,62.55404499118515,0.0
10.0,1215.8017044287417,556.3181786973981,801.0,68.68182130260186,0.0
11.0,1215.7495357333528,550.3338053600346,801.0,74.6661946399654,0.0
12.0,1215.697367037964,544.487870633674,801.0,80.51212936632601,0.0
13.0,1215.6451983425752,538.7756366850911,801.0,86.22436331490894,0.0
14.0,1215.5930296471863,533.1925794355755,801.0,91.80742056442455,0.0
15.0,1215.5408609517976,527.7343766405465,801.0,97.26562335945346,0.0
16.0,1215.4886922564087,522.3968967580814,801.0,102.60310324191857,0.0
17.0,1215.4365235610198,517.1761885461085,801.0,107.8238114538915,0.0
18.0,1215.3843548656312,512.0684713332165,801.0,112.93152866678349,0.0
19.0,1215.3321861702423,507.070125912737,801.0,117.92987408726299,0.0
20.0,1215.2800174748534,502.17768601400644,801.0,122.82231398599356,0.0
21.0,1215.2278487794647,497.387830308574,801.0,127.612169691426,0.0
22.0,1215.1756800840758,492.6973749126138,801.0,132.30262508738622,0.0
23.0,1215.123511388687,488.10326634997455,801.0,136.89673365002545,0.0
24.0,1215.0713426932982,483.6025749431845,801.0,141.3974250568155,0.0
25.0,1215.0191739979093,479.1924886023521,801.0,145.8075113976479,0.0
26.0,1214.9670053025204,474.8703069842915,801.0,150.12969301570848,0.0
27.0,1214.9148366071317,470.63343599638097,801.0,154.36656400361903,0.0
28.0,1214.8626679117428,466.47938262164746,801.0,158.52061737835254,0.0
29.0,1214.810499216354,462.40575004338575,801.0,162.59424995661425,0.0
30.0,1214.758330520965,458.41023304927745,801.0,166.58976695072255,0.0
31.0,1214.7061618255764,454.4906136964936,801.0,170.5093863035064,0.0
32.0,1214.6539931301875,450.6447572206521,801.0,174.35524277934792,0.0
33.0,1214.6018244347986,446.8706081727748,801.0,178.12939182722522,0.0
34.0,1214.54965573941,443.16618676955545,801.0,181.83381323044455,0.0
35.0,1214.497487044021,439.52958544332375,801.0,185.47041455667625,0.0
